"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Theophylline|Fraction excreted to urine"
9,2100,0.6859781,0.08100328
9,2160,0.6130234,0.08118366
9,2220,0.5478151,0.08134486
9,2280,0.4895335,0.08148891
9,2340,0.4374449,0.08161763
9,2400,0.3908931,0.08173265
9,2460,0.3492908,0.08183543
9,2520,0.3121128,0.08192728
9,2580,0.2788893,0.08200935
9,2640,0.2492003,0.08208267
9,2700,0.2226704,0.08214819
9,2760,0.1989636,0.08220674
9,2820,0.1777799,0.08225906
9,2880,0.1588509,0.0823058
9,2940,0.1419369,0.08234756
9,3000,0.1268234,0.08238488
9,3060,0.1133188,0.08241823
9,3120,0.1012521,0.08244803
9,3180,0.09047008,0.08247465
9,3240,0.08083607,0.08249844
9,3300,0.07222787,0.08251969
9,3360,0.06453627,0.08253868
9,3420,0.0576637,0.08255565
9,3480,0.05152295,0.08257081
9,3540,0.04603611,0.08258436
9,3600,0.04113355,0.08259646
9,3660,0.03675306,0.08260728
9,3720,0.03283906,0.08261694
9,3780,0.02934187,0.08262558
9,3840,0.0262171,0.08263329
9,3900,0.02342511,0.08264019
9,3960,0.02093045,0.08264634
9,4020,0.01870145,0.08265185
9,4080,0.01670982,0.08265676
9,4140,0.01493029,0.08266115
9,4200,0.01334027,0.08266508
9,4260,0.01191958,0.08266859
9,4320,0.01065019,0.08267172
10,0,0,0
10,60,23.1243,0.009437549
10,120,23.14016,0.02276293
10,180,20.91952,0.03463661
10,240,18.85345,0.04532402
10,300,17.00691,0.05496147
10,360,15.35395,0.06366046
10,420,13.8693,0.07151735
10,480,12.53205,0.07861628
10,540,11.32488,0.08503136
10,600,10.23329,0.09082831
10,660,9.245014,0.0960658
10,720,8.349542,0.1007965
10,780,7.537775,0.1050677
10,840,6.801753,0.1089224
10,900,6.134439,0.1123994
10,960,5.529569,0.1155341
10,1020,4.981514,0.1183586
10,1080,4.485192,0.120902
10,1140,4.03599,0.1231911
10,1200,3.629705,0.1252501
10,1260,3.262496,0.127101
10,1320,2.930848,0.1287641
10,1380,2.631537,0.1302575
10,1440,2.361611,0.1315979
10,1500,2.118363,0.1328004
10,1560,1.899311,0.1338787
10,1620,1.702184,0.1348452
10,1680,1.524906,0.1357111
10,1740,1.365577,0.1364866
10,1800,1.222466,0.137181
10,1860,1.093995,0.1378024
10,1920,0.9787279,0.1383584
10,1980,0.8753588,0.1388557
10,2040,0.782703,0.1393003
10,2100,0.6996863,0.1396979
10,2160,0.6253359,0.1400532
10,2220,0.5587721,0.1403707
10,2280,0.4992,0.1406544
10,2340,0.4459023,0.1409078
10,2400,0.3982322,0.1411342
10,2460,0.3556071,0.1413363
10,2520,0.3175025,0.1415167
10,2580,0.2834469,0.1416778
10,2640,0.2530164,0.1418217
10,2700,0.2258303,0.14195
10,2760,0.2015469,0.1420646
10,2820,0.1798599,0.1421668
10,2880,0.1604943,0.142258
10,2940,0.1432041,0.1423395
10,3000,0.1277687,0.1424121
10,3060,0.1139906,0.1424769
10,3120,0.1016931,0.1425347
10,3180,0.09071806,0.1425863
10,3240,0.08092413,0.1426323
10,3300,0.07218483,0.1426733
10,3360,0.06438713,0.1427099
10,3420,0.05742999,0.1427426
10,3480,0.05122316,0.1427717
10,3540,0.04568598,0.1427977
10,3600,0.04074645,0.1428208
10,3660,0.03634023,0.1428415
10,3720,0.0324099,0.1428599
10,3780,0.02890415,0.1428764
10,3840,0.02577724,0.142891
10,3900,0.02298829,0.1429041
10,3960,0.02050084,0.1429157
10,4020,0.01828234,0.1429261
10,4080,0.01630375,0.1429354
10,4140,0.01453917,0.1429437
10,4200,0.01296547,0.142951
10,4260,0.01156201,0.1429576
10,4320,0.01031041,0.1429635
11,0,0,0
11,60,21.52875,0.009658821
11,120,19.23497,0.01995139
11,180,17.04088,0.02897068
11,240,15.12155,0.03696885
11,300,13.4377,0.04407412
11,360,11.94896,0.05039163
11,420,10.62471,0.05600945
11,480,9.441771,0.06100288
11,540,8.382255,0.06543739
11,600,7.43202,0.06937074
11,660,6.579559,0.07285449
11,720,5.815228,0.07593502
11,780,5.130713,0.0786543
11,840,4.518669,0.0810504
11,900,3.972477,0.08315796
11,960,3.486091,0.08500838
11,1020,3.053934,0.0866302
11,1080,2.670842,0.08804924
11,1140,2.332025,0.08928882
11,1200,2.033044,0.09036993
11,1260,1.769794,0.09131144
11,1320,1.538495,0.09213021
11,1380,1.335681,0.0928413
11,1440,1.158184,0.0934581
11,1500,1.003125,0.09399249
11,1560,0.8678989,0.09445498
11,1620,0.7501563,0.09485483
11,1680,0.6477895,0.0952002
11,1740,0.558914,0.09549826
11,1800,0.4818511,0.09575529
11,1860,0.4151107,0.09597675
11,1920,0.3573738,0.09616744
11,1980,0.3074768,0.09633154
11,2040,0.2643959,0.09647267
11,2100,0.2272321,0.09659398
11,2160,0.1951983,0.09669819
11,2220,0.1676066,0.09678769
11,2280,0.1438571,0.09686451
11,2340,0.1234273,0.09693044
